Households,Houses,HousingSupply
"3,501","3,258",93.1
"3,501","3,258",93.1
"3,501","3,258",93.1
"3,647","3,442",94.4
"3,647","3,442",94.4
"3,647","3,442",94.4
"3,673","3,478",94.7
"3,673","3,478",94.7
"3,673","3,478",94.7
"3,701","3,510",94.8
"3,701","3,510",94.8
"3,701","3,510",94.8
"3,728","3,546",95.1
"3,728","3,546",95.1
"3,728","3,546",95.1
"3,756","3,608",96
"3,756","3,608",96
"3,756","3,608",96
"3,785","3,633",96
"3,785","3,633",96
"3,785","3,633",96
"3,785","3,644",96.3
"3,785","3,644",96.3
"3,785","3,644",96.3
"3,813","3,672",96.3
"3,813","3,672",96.3
"3,813","3,672",96.3
"3,840","3,682",95.9
"3,840","3,682",95.9
"3,840","3,682",95.9
"3,896","3,739",96
"3,896","3,739",96
"3,896","3,739",96
